Name,Owner,Stars,Forks,Last Updated,License,URL
ArchiveBox,ArchiveBox,23392,1241,2025-02-13T07:45:52Z,MIT License,https://github.com/ArchiveBox/ArchiveBox
labelImg,HumanSignal,23382,6395,2024-06-07T20:24:32Z,MIT License,https://github.com/HumanSignal/labelImg
graphrag,microsoft,23342,2339,2025-03-12T00:39:45Z,MIT License,https://github.com/microsoft/graphrag
storm,stanford-oval,23285,2019,2025-01-23T07:21:44Z,MIT License,https://github.com/stanford-oval/storm
cookiecutter,cookiecutter,23187,2051,2025-03-10T20:21:48Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/cookiecutter/cookiecutter
gpt-2,openai,23173,5617,2024-08-14T10:50:53Z,Other,https://github.com/openai/gpt-2
algo,wangzheng0822,23020,7066,2024-08-21T07:31:34Z,Apache License 2.0,https://github.com/wangzheng0822/algo
examples,pytorch,22823,9591,2025-02-09T16:56:58Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pytorch/examples
Awesome-Linux-Software,luong-komorebi,22817,2087,2025-03-11T02:59:23Z,N/A,https://github.com/luong-komorebi/Awesome-Linux-Software
NLP-progress,sebastianruder,22816,3624,2024-07-28T00:44:25Z,MIT License,https://github.com/sebastianruder/NLP-progress
pydantic,pydantic,22785,2040,2025-03-11T15:28:39Z,MIT License,https://github.com/pydantic/pydantic
open-r1,huggingface,22667,2035,2025-03-12T12:52:08Z,Apache License 2.0,https://github.com/huggingface/open-r1
marker,VikParuchuri,22667,1381,2025-03-12T19:11:59Z,GNU General Public License v3.0,https://github.com/VikParuchuri/marker
changedetection.io,dgtlmoon,22567,1226,2025-03-08T18:20:49Z,Apache License 2.0,https://github.com/dgtlmoon/changedetection.io
mkdocs-material,squidfunk,22434,3680,2025-03-12T16:36:49Z,MIT License,https://github.com/squidfunk/mkdocs-material
dspy,stanfordnlp,22417,1713,2025-03-12T13:01:53Z,MIT License,https://github.com/stanfordnlp/dspy
zulip,zulip,22416,8324,2025-03-12T17:21:15Z,Apache License 2.0,https://github.com/zulip/zulip
dash,plotly,22121,2120,2025-03-12T19:20:53Z,MIT License,https://github.com/plotly/dash
proxy_pool,jhao104,22081,5251,2025-02-13T05:35:58Z,MIT License,https://github.com/jhao104/proxy_pool
vit-pytorch,lucidrains,22024,3201,2025-03-05T18:50:39Z,MIT License,https://github.com/lucidrains/vit-pytorch
reflex,reflex-dev,22017,1282,2025-03-12T19:37:22Z,Apache License 2.0,https://github.com/reflex-dev/reflex
